c_x,c_y,c_psi_degree,psi_unity_degree,c_speed_kmh,steering_angle,throttle,a0,a1,a2,a3,cte,epsi,delta_position,cost_1,cost_2,cost_3,cost_4,global_x_1,global_x_2,global_x_3,global_x_4,global_x_5,global_x_6,global_y_1,global_y_2,global_y_3,global_y_4,global_y_5,global_y_6,veh_x_1,veh_x_2,veh_x_3,veh_x_4,veh_x_5,veh_x_6,veh_y_1,veh_y_2,veh_y_3,veh_y_4,veh_y_5,veh_y_6,
-40.62,108.73,213.922,236.078,0.704907,0,0,0.744287,0.0021447,0.00135139,-9.85155e-07,0.744287,-0.0021447,-0.711665,0.19767,0.196598,0.197618,0.196547,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.87754,0.711665,1.72438,3.86947,6.74423,10.7776,
-40.62,108.73,213.922,236.078,8.4587,-9.36329,100,0.744287,0.0021447,0.00135139,-9.85155e-07,0.744287,-0.0021447,-0.711665,0.19767,0.196598,0.197618,0.196547,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.87754,0.711665,1.72438,3.86947,6.74423,10.7776,
-40.6445,108.71,214.038,235.962,2.36887,-9.36329,100,0.741281,0.000216858,0.0013512,-9.90403e-07,0.741281,-0.000216858,-0.700726,0.197679,0.196635,0.197627,0.196584,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.63288,3.90921,25.8003,47.9774,67.702,88.1641,0.89382,0.700726,1.66944,3.76996,6.60508,10.5973,
-40.7263,108.643,214.387,235.613,2.50517,-9.36329,100,0.731529,-0.00559843,0.00135068,-1.00634e-06,0.731529,0.00559837,-0.667713,0.197712,0.196748,0.197659,0.196696,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.73263,3.80803,25.7046,47.8941,67.6356,88.1216,0.943275,0.667713,1.50309,3.46852,6.18346,10.051,
-40.896,108.501,215.119,234.881,4.72926,-9.36329,100,0.709105,-0.0178123,0.00135003,-1.03997e-06,0.709105,0.0178104,-0.600354,0.19781,0.19699,0.197759,0.196939,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.94032,3.59571,25.5012,47.7139,67.4886,88.0224,1.04903,0.600354,1.15568,2.83722,5.29951,8.90481,
-41.2196,108.22,216.509,233.491,8.04311,-9.36329,100,0.658691,-0.0409772,0.00135043,-1.1047e-06,0.658691,0.0409543,-0.479645,0.198111,0.197474,0.19806,0.197423,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.3393,3.18191,25.0944,47.3414,67.17,87.7852,1.25653,0.479645,0.503455,1.64569,3.62759,6.73375,
-41.6264,107.847,218.302,231.698,11.5567,-9.36329,100,0.580132,-0.0709288,0.00135416,-1.19074e-06,0.580132,0.0708102,-0.339372,0.198718,0.198143,0.198747,0.198172,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.8453,2.64497,24.5475,46.8193,66.7002,87.4025,1.53895,0.339372,-0.32247,0.1231,1.4836,3.94319,
-43.2038,106.239,224.289,225.711,20.4903,-6.58294,100,0.147129,-0.170961,0.00139172,-1.51394e-06,0.147129,0.169324,-0.0123402,0.202576,0.200761,0.202604,0.200788,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-12.8773,0.414257,22.1283,44.3252,64.2395,85.0854,2.61238,0.0123402,-2.93028,-4.81005,-5.53051,-5.24353,
-44.2808,104.994,227.739,222.261,24.4068,9.36329,37.2792,-0.323889,-0.22145,0.00123686,-4.05448e-07,-0.323889,0.217933,4.29724,0.0596783,0.0593743,0.0596709,0.0593668,-43.4917,-61.09,-78.2917,-93.05,-107.772,-123.392,105.941,92.885,78.731,65.341,50.5794,33.371,-1.2318,20.2658,42.3093,62.1442,82.9695,106.21,-0.0531711,-4.29724,-7.50945,-9.42708,-10.3952,-10.3827,
-46.0146,103.414,222.407,227.593,25.3004,9.36329,20.2643,-0.604178,-0.12009,0.00117926,-1.472e-07,-0.604178,0.119518,2.39263,0.0599046,0.0597538,0.0598969,0.0597462,-43.4917,-61.09,-78.2917,-93.05,-107.772,-123.392,105.941,92.885,78.731,65.341,50.5794,33.371,-3.56721,18.2318,40.4784,60.4056,81.2308,104.369,-0.164684,-2.39263,-3.54244,-3.60851,-2.63712,-0.464945,
