c_x,c_y,c_psi_degree,psi_unity_degree,c_speed_kmh,steering_angle,throttle,a0,a1,a2,a3,cte,epsi,global_x_1,global_x_2,global_x_3,global_x_4,global_x_5,global_x_6,global_y_1,global_y_2,global_y_3,global_y_4,global_y_5,global_y_6,veh_x_1,veh_x_2,veh_x_3,veh_x_4,veh_x_5,veh_x_6,veh_y_1,veh_y_2,veh_y_3,veh_y_4,veh_y_5,veh_y_6,
-40.62,108.73,213.922,236.078,0.704907,0,0,0.744287,0.00214534,0.00135139,-9.85153e-07,0.744287,-0.00214534,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.877534,0.711668,1.72439,3.8695,6.74427,10.7777,
-40.62,108.73,213.922,236.078,8.4587,-9.36329,100,0.744287,0.00214534,0.00135139,-9.85153e-07,0.744287,-0.00214534,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.877534,0.711668,1.72439,3.8695,6.74427,10.7777,
-40.6504,108.705,214.073,235.926,2.89508,-9.36329,100,0.740545,-0.000388836,0.00135115,-9.92037e-07,0.740545,0.000388836,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.63997,3.90199,25.7937,47.9721,67.6985,88.163,0.899108,0.697544,1.65257,3.73922,6.562,10.5415,
-40.7766,108.601,214.598,235.402,3.24193,-9.36329,100,0.725162,-0.00912685,0.00135043,-1.01604e-06,0.725162,0.0091266,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.79427,3.74527,25.6448,47.8414,67.5928,88.093,0.973457,0.647819,1.40221,3.28556,5.92747,9.71924,
-41.0373,108.379,215.722,234.278,6.24992,-9.36329,100,0.688336,-0.0278609,0.00134994,-1.06789e-06,0.688336,0.0278537,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.1142,3.41637,25.3265,47.5557,67.3552,87.9258,1.13783,0.546681,0.871374,2.31898,4.57296,7.9619,
-41.3276,108.123,216.98,233.02,9.03643,-9.36329,100,0.639527,-0.0488348,0.00135106,-1.12698e-06,0.639527,0.048796,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.4731,3.04125,24.9532,47.2089,67.053,87.693,1.32909,0.441102,0.284806,1.24415,3.06301,5.99962,
-41.7233,107.754,218.737,231.263,12.1528,-9.36329,53.8698,0.558764,-0.078215,0.00135561,-1.21218e-06,0.558764,0.0780561,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.9665,2.51422,24.4111,46.6857,66.5763,87.2967,1.60998,0.307971,-0.520208,-0.243812,0.965646,3.26793,
-42.1856,107.296,220.823,229.177,13.3611,-4.60607,0,0.442141,-0.113232,0.00136556,-1.31872e-06,0.442141,0.112751,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-11.5503,1.87416,23.7264,45.9963,65.9177,86.7082,1.96333,0.171543,-1.45304,-1.98754,-1.50282,0.0438002,
-42.6162,106.882,221.737,228.263,8.62012,1.34887,0,0.344406,-0.127795,0.00137023,-1.36772e-06,0.344406,0.127106,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-12.1141,1.28,23.1035,45.3621,65.2887,86.1012,2.12531,0.119656,-1.85323,-2.74282,-2.57588,-1.36103,
-42.9489,106.592,221.585,228.414,6.90072,0.223603,2.88082,0.292634,-0.123896,0.00136719,-1.35948e-06,0.292634,0.123268,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-12.5615,0.837912,22.6666,44.9274,64.8535,85.6627,2.09663,0.126406,-1.78875,-2.61947,-2.39982,-1.12992,
